id,placeId,locationType,nameFr,nameEn,descriptionFr,descriptionEn,containedInPlaceStatus,streetAddress,addressLocality,addressRegion,postalCode,addressCountry,lastModification
VILLE-6040,6040,AdministrativeArea,Saint-André-de-Restigouche,Saint-André-de-Restigouche,Municipalité de Saint-André-de-Restigouche,Municipality of Saint-André-de-Restigouche,false,"""""",Saint-André-de-Restigouche,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-6045,6045,AdministrativeArea,Matapédia,Matapédia,Municipalité de Matapédia,Municipality of Matapédia,false,"""""",Matapédia,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-6050,6050,AdministrativeArea,Saint-Alexis-de-Matapédia,Saint-Alexis-de-Matapédia,Municipalité de Saint-Alexis-de-Matapédia,Municipality of Saint-Alexis-de-Matapédia,false,"""""",Saint-Alexis-de-Matapédia,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-6055,6055,AdministrativeArea,Saint-François-d'Assise,Saint-François-d'Assise,Municipalité de Saint-François-d'Assise,Municipality of Saint-François-d'Assise,false,"""""",Saint-François-d'Assise,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-6060,6060,AdministrativeArea,L'Ascension-de-Patapédia,L'Ascension-de-Patapédia,Municipalité de L'Ascension-de-Patapédia,Municipality of L'Ascension-de-Patapédia,false,"""""",L'Ascension-de-Patapédia,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-6802,6802,AdministrativeArea,Gesgapegiag,Gesgapegiag,Territoire autochtone de Gesgapegiag,Aboriginal territory of Gesgapegiag,false,"""""",Gesgapegiag,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-6804,6804,AdministrativeArea,Listuguj,Listuguj,Territoire autochtone de Listuguj,Aboriginal territory of Listuguj,false,"""""",Listuguj,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-6902,6902,AdministrativeArea,Rivière-Nouvelle,Rivière-Nouvelle,Rivière-Nouvelle,Rivière-Nouvelle,FALSE,"""""",Rivière-Nouvelle,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-6904,6904,AdministrativeArea,Ruisseau-Ferguson,Ruisseau-Ferguson,Ruisseau-Ferguson,Ruisseau-Ferguson,FALSE,"""""",Ruisseau-Ferguson,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7005,7005,AdministrativeArea,Sainte-Marguerite-Marie,Sainte-Marguerite-Marie,Municipalité de Sainte-Marguerite-Marie,Municipality of Sainte-Marguerite-Marie,FALSE,"""""",Sainte-Marguerite-Marie,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7010,7010,AdministrativeArea,Sainte-Florence,Sainte-Florence,Municipalité de Sainte-Florence,Municipality of Sainte-Florence,FALSE,"""""",Sainte-Florence,QC,"""""",CAN,2025-03-27T15:00:00-04:00
